备盒, 醚拌 , 醚拌 巢 , 醚拌 咯 
0技,13993,7075,6918
1技,16306,8442,7864
2技,18774,9576,9198
3技,20010,10252,9758
4技,20020,10219,9801
5技,19918,10119,9799
6技,22413,11513,10900
7技,21705,11104,10601
8技,21518,11148,10370
9技,20296,10533,9763
10技,21370,11067,10303
11技,23101,11827,11274
12技,21019,10956,10063
13技,21075,11093,9982
14技,22798,11950,10848
15技,24714,13017,11697
16技,24143,12896,11247
17技,28158,14875,13283
18技,32279,17051,15228
19技,31015,16454,14561
20技,31710,17003,14707
21技,34225,18092,16133
22技,34958,18578,16380
23技,35752,19217,16535
24技,35081,19196,15885
25技,34115,18776,15339
26技,34308,18768,15540
27技,32597,17704,14893
28技,29209,16111,13098
29技,28890,15556,13334
30技,26957,14770,12187
31技,26968,14233,12735
32技,27054,14587,12467
33技,28016,14663,13353
34技,28041,14538,13503
35技,32482,16406,16076
36技,36090,17967,18123
37技,37391,18605,18786
38技,37430,18716,18714
39技,37549,18399,19150
40技,32321,16444,15877
41技,35851,17682,18169
42技,35684,17887,17797
43技,37855,18494,19361
44技,40581,20209,20372
45技,42659,20642,22017
46技,43764,21621,22143
47技,45472,22386,23086
48技,44715,22046,22669
49技,45368,22013,23355
50技,46587,23087,23500
51技,44166,21213,22953
52技,40519,20729,19790
53技,42525,20486,22039
54技,41598,20472,21126
55技,39327,19490,19837
56技,44136,21833,22303
57技,45664,22321,23343
58技,43639,21172,22467
59技,42982,20650,22332
60技,35806,17790,18016
61技,37214,18307,18907
62技,34069,16642,17427
63技,34356,15996,18360
64技,28529,13945,14584
65技,26830,12495,14335
66技,29092,13475,15617
67技,22212,10364,11848
68技,21917,10321,11596
69技,22725,10529,12196
70技,22493,10253,12240
71技,20941,9389,11552
72技,14969,6826,8143
73技,13482,5899,7583
74技,15939,6833,9106
75技,16442,6969,9473
76技,18577,7985,10592
77技,15218,6238,8980
78技,13166,5201,7965
79技,13359,5266,8093
80技,11321,4345,6976
81技,10246,3779,6467
82技,9222,3363,5859
83技,8432,2926,5506
84技,7323,2492,4831
85技,5750,1824,3926
86技,5143,1591,3552
87技,3943,1088,2855
88技,3149,757,2392
89技,2540,642,1898
90技,2157,511,1646
91技,1673,389,1284
92技,1072,227,845
93技,905,194,711
94技,616,123,493
95技,502,112,390
96技,369,74,295
97技,273,46,227
98技,178,37,141
99技,130,25,105
100技 捞惑,628,145,483
