备盒, 醚拌 , 醚拌 巢 , 醚拌 咯 , 吝备 拌 , 吝备 巢 , 吝备 咯 , 悼备 拌 , 悼备 巢 , 悼备 咯 , 辑备 拌 , 辑备 巢 , 辑备 咯 , 巢备 拌 , 巢备 巢 , 巢备 咯 , 合备 拌 , 合备 巢 , 合备 咯 , 荐己备 拌 , 荐己备 巢 , 荐己备 咯 , 崔辑备 拌 , 崔辑备 巢 , 崔辑备 咯 , 崔己焙 拌 , 崔己焙 巢 , 崔己焙 咯 
0技,13993,7075,6918,521,272,249,2173,1100,1073,650,319,331,587,295,292,2688,1370,1318,1685,874,811,2954,1483,1471,2735,1362,1373
1技,16306,8442,7864,548,278,270,2569,1365,1204,784,410,374,628,314,314,3085,1535,1550,2097,1060,1037,3627,1959,1668,2968,1521,1447
2技,18774,9576,9198,656,325,331,2875,1433,1442,960,490,470,720,360,360,3637,1846,1791,2484,1313,1171,4160,2185,1975,3282,1624,1658
3技,20010,10252,9758,639,324,315,3055,1592,1463,965,501,464,779,402,377,3827,1964,1863,2858,1477,1381,4623,2363,2260,3264,1629,1635
4技,20020,10219,9801,594,310,284,3055,1541,1514,937,477,460,759,391,368,3790,1952,1838,3106,1592,1514,4571,2334,2237,3208,1622,1586
5技,19918,10119,9799,564,277,287,2925,1491,1434,987,499,488,781,398,383,3771,1905,1866,3282,1668,1614,4621,2341,2280,2987,1540,1447
6技,22413,11513,10900,611,350,261,3210,1689,1521,1079,546,533,850,419,431,4182,2136,2046,4015,2076,1939,5304,2667,2637,3162,1630,1532
7技,21705,11104,10601,588,287,301,3011,1561,1450,1018,514,504,815,441,374,4058,2100,1958,4037,2049,1988,5160,2606,2554,3018,1546,1472
8技,21518,11148,10370,539,280,259,2955,1547,1408,970,490,480,801,431,370,3972,2075,1897,4120,2128,1992,5265,2717,2548,2896,1480,1416
9技,20296,10533,9763,484,275,209,2743,1446,1297,937,461,476,800,391,409,3764,1907,1857,4167,2178,1989,4977,2635,2342,2424,1240,1184
10技,21370,11067,10303,459,233,226,2782,1404,1378,975,497,478,831,439,392,4027,2087,1940,4582,2391,2191,5146,2699,2447,2568,1317,1251
11技,23101,11827,11274,521,293,228,2922,1489,1433,1093,544,549,942,485,457,4413,2278,2135,5082,2609,2473,5634,2866,2768,2494,1263,1231
12技,21019,10956,10063,455,219,236,2428,1296,1132,989,500,489,857,453,404,4029,2082,1947,4987,2651,2336,5086,2610,2476,2188,1145,1043
13技,21075,11093,9982,432,230,202,2485,1335,1150,1008,523,485,867,479,388,4011,2067,1944,4953,2625,2328,5186,2705,2481,2133,1129,1004
14技,22798,11950,10848,480,228,252,2648,1388,1260,1137,620,517,967,486,481,4415,2331,2084,5390,2865,2525,5641,2939,2702,2120,1093,1027
15技,24714,13017,11697,595,290,305,2812,1434,1378,1326,703,623,1081,562,519,4752,2486,2266,5852,3169,2683,6063,3177,2886,2233,1196,1037
16技,24143,12896,11247,526,289,237,2802,1516,1286,1375,756,619,1054,571,483,4662,2474,2188,5620,2989,2631,6032,3160,2872,2072,1141,931
17技,28158,14875,13283,622,317,305,3143,1653,1490,1603,859,744,1231,649,582,5433,2844,2589,6543,3551,2992,7176,3707,3469,2407,1295,1112
18技,32279,17051,15228,678,330,348,3661,1956,1705,1891,1016,875,1479,750,729,6256,3318,2938,7234,3869,3365,8430,4440,3990,2650,1372,1278
19技,31015,16454,14561,815,386,429,3630,1968,1662,1897,1010,887,1540,762,778,6008,3173,2835,6542,3526,3016,8021,4261,3760,2562,1368,1194
20技,31710,17003,14707,784,381,403,3787,2083,1704,2069,1121,948,1635,805,830,5976,3189,2787,6469,3484,2985,8289,4481,3808,2701,1459,1242
21技,34225,18092,16133,926,455,471,4148,2197,1951,2382,1289,1093,1889,955,934,6647,3507,3140,6636,3554,3082,8675,4541,4134,2922,1594,1328
22技,34958,18578,16380,1016,485,531,4309,2252,2057,2448,1305,1143,2120,1122,998,6636,3530,3106,6581,3569,3012,8906,4638,4268,2942,1677,1265
23技,35752,19217,16535,1189,570,619,4583,2429,2154,2691,1465,1226,2182,1115,1067,6662,3595,3067,6501,3535,2966,9045,4859,4186,2899,1649,1250
24技,35081,19196,15885,1314,616,698,4575,2527,2048,2605,1432,1173,2209,1170,1039,6625,3682,2943,6156,3373,2783,8695,4747,3948,2902,1649,1253
25技,34115,18776,15339,1346,677,669,4525,2496,2029,2720,1543,1177,2186,1133,1053,6245,3547,2698,5646,3057,2589,8521,4682,3839,2926,1641,1285
