구분,total,men,women
0,13993,7075,6918
1,16306,8442,7864
2,18774,9576,9198
3,20010,10252,9758
4,20020,10219,9801
5,19918,10119,9799
6,22413,11513,10900
7,21705,11104,10601
8,21518,11148,10370
9,20296,10533,9763
10,21370,11067,10303
11,23101,11827,11274
12,21019,10956,10063
13,21075,11093,9982
14,22798,11950,10848
15,24714,13017,11697
16,24143,12896,11247
17,28158,14875,13283
18,32279,17051,15228
19,31015,16454,14561
20,31710,17003,14707
21,34225,18092,16133
22,34958,18578,16380
23,35752,19217,16535
24,35081,19196,15885
25,34115,18776,15339
26,34308,18768,15540
27,32597,17704,14893
28,29209,16111,13098
29,28890,15556,13334
30,26957,14770,12187
31,26968,14233,12735
32,27054,14587,12467
33,28016,14663,13353
34,28041,14538,13503
35,32482,16406,16076
36,36090,17967,18123
37,37391,18605,18786
38,37430,18716,18714
39,37549,18399,19150
40,32321,16444,15877
41,35851,17682,18169
42,35684,17887,17797
43,37855,18494,19361
44,40581,20209,20372
45,42659,20642,22017
46,43764,21621,22143
47,45472,22386,23086
48,44715,22046,22669
49,45368,22013,23355
50,46587,23087,23500
51,44166,21213,22953
52,40519,20729,19790
53,42525,20486,22039
54,41598,20472,21126
55,39327,19490,19837
56,44136,21833,22303
57,45664,22321,23343
58,43639,21172,22467
59,42982,20650,22332
60,35806,17790,18016
61,37214,18307,18907
62,34069,16642,17427
63,34356,15996,18360
64,28529,13945,14584
65,26830,12495,14335
66,29092,13475,15617
67,22212,10364,11848
68,21917,10321,11596
69,22725,10529,12196
70,22493,10253,12240
71,20941,9389,11552
72,14969,6826,8143
73,13482,5899,7583
74,15939,6833,9106
75,16442,6969,9473
76,18577,7985,10592
77,15218,6238,8980
78,13166,5201,7965
79,13359,5266,8093
80,11321,4345,6976
81,10246,3779,6467
82,9222,3363,5859
83,8432,2926,5506
84,7323,2492,4831
85,5750,1824,3926
86,5143,1591,3552
87,3943,1088,2855
88,3149,757,2392
89,2540,642,1898
90,2157,511,1646
91,1673,389,1284
92,1072,227,845
93,905,194,711
94,616,123,493
95,502,112,390
96,369,74,295
97,273,46,227
98,178,37,141
99,130,25,105
100 이상,628,145,483
